,title,,,,,,target
119,"""用中华小当家的口吻描述热干面？""",,,,,,
120,"""有哪些很重要又被忽视的炒菜技巧？""",,,,,,
121,"""淘宝上有哪些网购美食？""",,,,,,
122,"""街边小吃究竟有多脏？""",,,,,,
123,"""最适合在办公室吃的零食是什么？""",,,,,,
124,"""你在最饿时曾饥不择食吃过什么？""",,,,,,
125,"""有哪些很重要又被忽视的炒菜技巧？""",,,,,,
126,"""有哪些吃西餐时非常 low 的行为？""",,,,,,
127,"""你吃过的最奇葩的食物是什么？""",,,,,,
128,"""如何应对「披萨不就是个大饼铺点肉」、「寿司不就是放块鱼在米饭上」这种言论？""",,,,,,
129,"""有哪些吃西餐时非常 low 的行为？""",,,,,,
130,"""面包店是怎么处理当天剩余面包的？""",,,,,,
131,"""你因为贪吃付出过怎样惨痛的代价？""",,,,,,
133,"""知乎上关于美食的精彩问答有哪些？""",,,,,,
134,"""开炸鸡排店的「水」真的很深吗？""",,,,,,
135,"""你最不能理解的网红美食是什么？""",,,,,,
136,"""女生会做饭是一种怎样的体验？""",,,,,,
137,"""方便面对身体有什么影响？""",,,,,,
138,"""有哪些吃山东煎饼时非常不雅的行为？""",,,,,,
139,"""100 元以下的价位有什么好喝的酒？""",,,,,,
140,"""你是明白了哪几个基本原理之后而厨艺大增的？""",,,,,,
142,"""街边小吃究竟有多脏？""",,,,,,
143,"""如何煎出完美的鸡蛋？""",,,,,,
144,"""有哪些类似「西瓜最中间那一口」的美食？""",,,,,,
145,"""电影《喜欢你》里面的煮面方式真的好吃吗？""",,,,,,
146,"""你吃过最令人感动的食物是什么？""",,,,,,
147,"""如何评价《舌尖上的中国》第三季？""",,,,,,
148,"""北京有哪些深藏不露的餐馆？""",,,,,,
149,"""为什么街头烤肠、麻辣烫、关东煮、烧烤这些东西不断被人说不健康甚至致癌，可销量却丝毫不受影响？""",,,,,,
150,"""米其林三星餐厅吃一顿多少钱？""",,,,,,
151,"""《舌尖上的中国》第三季真的扑街了吗？""",,,,,,
152,"""人类能不能吃狗肉？""",,,,,,
153,"""那么讨厌的一个人居然没被甩""",,,,,,
154,"""如何评价《舌尖上的中国》第三季？""",,,,,,
155,"""你在最饿时曾饥不择食吃过什么？""",,,,,,
156,"""羊驼的口感是怎样的？""",,,,,,
157,"""中国菜可以有多好吃？""",,,,,,
158,"""海底捞，我承认我“抖”不过你""",,,,,,
159,"""有什么地方让你觉得「哪怕只为了吃都值得特地跑一趟」？""",,,,,,
160,"""曝光！用airbnb订台湾民宿遇到变态房东，针孔摄像头装在民宿卧室与卫生间，半年时间airbnb回应冷漠！""",,,,,,
161,"""与网络卖家发生纠纷后如何解决？""",,,,,,
162,"""有哪些适合居住一周的旅游小镇？""",,,,,,
163,"""有哪些适合居住一周的旅游小镇？""",,,,,,
164,"""坐趟从北京到莫斯科的列车是一种怎样的体验？""",,,,,,
165,"""国内有哪些冷门但有特色的旅游地点？""",,,,,,
166,"""哪些地方适合一个人旅行？""",,,,,,
167,"""冰岛最吸引游客的地方都有哪些？""",,,,,,
168,"""如何看待宁波动物园老虎咬人导致老虎被击毙事件？""",,,,,,
169,"""长城这么矮究竟能拦住什么？""",,,,,,
170,"""旅游景点都有哪些常见的坑钱、骗人的伎俩？""",,,,,,
171,"""休婚假 15 天，去哪里玩比较好？""",,,,,,
172,"""10部必看的BBC神级纪录片，每一部都美到跪下！""",,,,,,
173,"""如何看待宁波动物园老虎咬人导致老虎被击毙事件？""",,,,,,
174,"""淘宝上有哪些好看到爆的女装店？""",,,,,,
175,"""日本有哪些糟糕之处？""",,,,,,
176,"""淘宝上有哪些便宜又好吃的零食？""",,,,,,
177,"""日本旅游自助会比跟团贵吗？""",,,,,,
178,"""国内有哪些尚未过度开发的景点值得一去？""",,,,,,
179,"""淘宝上有哪些便宜又好吃的零食？""",,,,,,
180,"""这本该是个励志的故事……""",,,,,,
181,"""朋友出国买东西，代购，我被坑了吗？""",,,,,,
182,"""在北京一个人一天去哪玩比较好？""",,,,,,
183,"""女生长途旅行如何精简行李还能打扮的美美的？""",,,,,,
184,"""这可能是Airbnb上最酷的夫妻房东""",,,,,,
185,"""最让你失望的境外旅游城市或者景点是哪里？""",,,,,,
186,"""如何看待丽江抢劫打人恶性毁容事件？""",,,,,,
187,"""国内有哪些尚未过度开发的景点值得一去？""",,,,,,
188,"""有哪些旅行的细节极大地提升了整个旅行体验？""",,,,,,
189,"""女生一个人旅行不安全，这种说法是对还是错？""",,,,,,
190,"""你在火车上遇到过哪些有趣／难忘的事？""",,,,,,
191,"""你听过哪些请假奇葩理由？""",,,,,,
192,"""非上海土著来沪一定不能错过的平民美食有哪些？""",,,,,,
193,"""贵州有哪些不可错过的景点？为什么？""",,,,,,
194,"""一个人旅行有哪些必备神器？""",,,,,,
196,"""有哪些网购能买到的冷门却有趣的东西？""",,,,,,
197,"""火车长途硬座有哪些黑魔法？""",,,,,,
198,"""你看见和了解的台湾是怎样的？""",,,,,,
199,"""大二，寒假想穷游拉萨和林芝，大概15天，预算2000，女生，一个人，没有独自出行经验！求建议！?""",,,,,,
200,"""宾馆的工作人员是怎么看待开房的一对男女的？""",,,,,,
201,"""宾馆的工作人员是怎么看待开房的一对男女的？""",,,,,,
202,"""在交通工具上靠着陌生人的肩膀睡着了或是被陌生人靠着肩膀睡着了是怎样一种体验？""",,,,,,
203,"""旅行时如何拍出不那么「到此一游」的照片？""",,,,,,
204,"""「侣行」夫妇（张昕宇、梁红）花了一亿人民币环球旅行有意义吗？""",,,,,,
205,"""女生一个人去印度自由行一个月左右可行吗？""",,,,,,
206,"""曝光！用airbnb订台湾民宿遇到变态房东，针孔摄像头装在民宿卧室与卫生间，半年时间airbnb回应冷漠！""",,,,,,
207,"""在外住酒店、宾馆有哪些经验？""",,,,,,
208,"""女生一个人去印度自由行一个月左右可行吗？""",,,,,,
209,"""有哪些适合居住一周的旅游小镇？""",,,,,,
210,"""旅行中如何优雅地发朋友圈？""",,,,,,
211,"""火车上为什么会有人老是来推销小商品？""",,,,,,
213,"""有哪些适合居住一周的旅游小镇？""",,,,,,
214,"""你在火车站或火车上有过哪些难忘的或更新世界观的经历？""",,,,,,
215,"""整年都在旅行的人，有哪些经济来源？""",,,,,,
216,"""提高手机摄影水平，有什么心得？""",,,,,,
217,"""坐趟从北京到莫斯科的列车是一种怎样的体验？""",,,,,,
218,"""去泰国旅游要注意些什么？""",,,,,,
219,"""你看见和了解的台湾是怎样的？""",,,,,,
220,"""一个人旅行应该怎样自拍？""",,,,,,
221,"""你在乘坐出租车或网约车时发生过哪些让你难忘的故事？""",,,,,,
222,"""西藏，才不是你们的去污粉！""",,,,,,
223,"""和不会拍照的人旅游是种怎样的体验？""",,,,,,
224,"""住宾馆时让人感觉最好的体验是什么？""",,,,,,
226,"""故宫一年之内游客最少的是什么时候？""",,,,,,
227,"""有哪些「神反转」的例子？""",,,,,,
228,"""哪些地方适合一个人旅行？""",,,,,,
229,"""如何购买特价机票？""",,,,,,
230,"""世界上最危险的地方在哪？""",,,,,,
231,"""你住过最贵的酒店是哪家？""",,,,,,
232,"""国内有哪些冷门但有特色的旅游地点？""",,,,,,
233,"""你在乘坐出租车或网约车时发生过哪些让你难忘的故事？""",,,,,,
234,"""如何在火车上向身边的陌生人搭讪？""",,,,,,
235,"""去过 100 个以上的国家是种怎样的体验？""",,,,,,
236,"""旅行真的能使人改变吗？""",,,,,,
237,"""旅行时如何拍出不那么「到此一游」的照片？""",,,,,,
238,"""住酒店时，半夜有人敲门并在门口发出动门锁的声音，该怎样做？""",,,,,,
239,"""有什么地方让你觉得「哪怕只为了吃都值得特地跑一趟」？""",,,,,,
240,"""有哪些读书学不来，却很重要的素质？""",,,,,,
241,"""要怎样努力，才能成为很厉害的人？""",,,,,,
242,"""你有什么道理后悔没有早点知道？""",,,,,,
243,"""有哪些很重要又被忽视的炒菜技巧？""",,,,,,
244,"""历史上有哪些成就颇高但鲜为人知的人？""",,,,,,
245,"""有什么相见恨晚的背单词方法？""",,,,,,
246,"""你有什么道理后悔没有早点知道？""",,,,,,
247,"""体质极差的人该如何从头开始恢复身体素质？""",,,,,,
248,"""好友间的关系是如何变淡的？""",,,,,,
249,"""有文化可以有多可怕？""",,,,,,
250,"""你成功地报复过谁？""",,,,,,
251,"""有哪些你难以理解的潮流？""",,,,,,
252,"""你在不经意间看见过什么不该看见的东西或者事情？""",,,,,,
253,"""有什么知识，你知道后你的世界马上就不一样了？""",,,,,,
254,"""你在不经意间看见过什么不该看见的东西或者事情？""",,,,,,
255,"""每个宿舍最早起来的人后来怎么样了呢？""",,,,,,
256,"""你成功地报复过谁？""",,,,,,
257,"""丧失了喜欢人的能力是怎样的体验？""",,,,,,
258,"""「让前任后悔」是种怎样的体验？""",,,,,,
259,"""一个女生怎样才算见过世面？""",,,,,,
261,"""你觉得自己牛在哪儿？为什么会这样觉得？""",,,,,,
262,"""刚和女朋友/男朋友同居是一种什么体验？""",,,,,,
263,"""就 2015 年初而言，国人的审美大体处于一个什么样的水平？""",,,,,,
264,"""在交通工具上靠着陌生人的肩膀睡着了或是被陌生人靠着肩膀睡着了是怎样一种体验？""",,,,,,
265,"""有一个妹妹是怎样一种体验？""",,,,,,
266,"""有哪些「笑容逐渐消失」的例子？""",,,,,,
267,"""有一个妹妹是怎样一种体验？""",,,,,,
268,"""现实可以有多美好？""",,,,,,
269,"""日常生活中有哪些十分钟就能学会并可以终生受用的技能？""",,,,,,
270,"""如果800个小时后发生世界大战，你最想怎么做？""",,,,,,
271,"""哪些实用的小方法、小技巧、好习惯能让人每天进步？""",,,,,,
272,"""装逼成功是种怎样的体验？""",,,,,,
273,"""有没有一部电影让你在深夜中痛哭？""",,,,,,
274,"""你遇到过哪些「赤裸裸暴露人性」的事情？""",,,,,,
275,"""男女交往中男性的核心竞争力是什么？""",,,,,,
276,"""你听到过或写下过最漂亮的一句话是什么？""",,,,,,
277,"""有哪些写出来让人尴尬到脸酸的文章或段子？""",,,,,,
278,"""穷养的女孩和富养的女孩的区别在哪？""",,,,,,
279,"""贫穷有多可怕？""",,,,,,
280,"""有哪些极简主义的头像？""",,,,,,
281,"""你见过最丑的设计是什么？""",,,,,,
282,"""喜欢宅的人，如何把家里装修成全世界最舒服的地方？""",,,,,,
284,"""有哪些外行人看来很蠢的设计实际上却是精妙无比？""",,,,,,
286,"""用纸能玩出什么好玩的花样？""",,,,,,
287,"""有哪些「看似很 LOW，实则惊艳」的产品？""",,,,,,
288,"""有哪些让人拍案叫绝的智障设计？""",,,,,,
289,"""有哪些令人叹为观止的细节？""",,,,,,
290,"""设计师这样的工作，可以做一辈子吗？""",,,,,,
291,"""有哪些脑残的产品设计？""",,,,,,
292,"""你见过最人性化的设计是什么？""",,,,,,
293,"""一个人可以 DIY 出什么有意思的东西？""",,,,,,
294,"""有哪些「看似很 LOW，实则惊艳」的产品？""",,,,,,
295,"""你见过最逼真、最极致的图片处理是什么样的？""",,,,,,
296,"""有哪些极简主义的头像？""",,,,,,
297,"""有哪些「看似复杂，实则简单」的PS技巧？""",,,,,,
298,"""怎样做出优秀的扁平化设计风格 PPT 或 Keynote 幻灯片演示文稿？""",,,,,,
299,"""你见过最人性化的设计是什么？""",,,,,,
300,"""怎么才能使粉色看起来非常硬汉？""",,,,,,
301,"""国内有哪些非常有设计感的 App？""",,,,,,
302,"""有哪些你想发明却已经被人发明了的东西？""",,,,,,
303,"""用一张纸能做出什么 ?""",,,,,,
304,"""你见过最逼真、最极致的图片处理是什么样的？""",,,,,,
305,"""有哪些包装方法让礼物瞬间高大上？""",,,,,,
306,"""不得不知的Snapseed使用技巧！""",,,,,,
307,"""有哪些值得推荐的字体？""",,,,,,
308,"""抖音骗我买的这20样东西，最后你猜怎么样了？""",,,,,,
309,"""一个人可以 DIY 出什么有意思的东西？""",,,,,,
310,"""你见过那些让人一眼记住的头像？""",,,,,,
311,"""有哪些让人拍案叫绝的智障设计？""",,,,,,
312,"""你家的装修是怎样的，共花费多少？""",,,,,,
314,"""你见过的真正的Photoshop高手是什么样的？""",,,,,,
315,"""如何设计一张高品位高水准海报？""",,,,,,
316,"""有哪些令人叹为观止的细节？""",,,,,,
317,"""要你“小一点的同时大一点”，很过分吗？""",,,,,,
318,"""有哪些著名的设计失败的汽车？""",,,,,,
319,"""你家的装修是怎样的，共花费多少？""",,,,,,
320,"""一线歌手之间的唱功真的有差距吗？从哪些方面可以看出来？""",,,,,,
321,"""有没有什么歌曲让你感慨「还有这种唱法！」？""",,,,,,
323,"""哪些歌手的真实性格和他官方人设非常不符？""",,,,,,
324,"""中国音乐圈最令人痛心的一刻是什么时候？""",,,,,,
325,"""有哪些让你觉得恶心的恶俗歌词？""",,,,,,
326,"""如何看待《一人我饮酒醉》这样的歌曲，是怎样的一种产物？""",,,,,,
327,"""PG One七宗罪：抄袭、吸毒、玩嫂子，真没他不敢干的！""",,,,,,
328,"""网易云音乐有哪些值得收藏的歌单？""",,,,,,
329,"""你们听过的最逗比的歌名是什么？""",,,,,,
330,"""有哪些让你觉得恶心的恶俗歌词？""",,,,,,
331,"""一线歌手之间的唱功真的有差距吗？从哪些方面可以看出来？""",,,,,,
332,"""什么音乐歌曲你听着听着就哭了？""",,,,,,
333,"""你什么时候会对华语乐坛感到失望？""",,,,,,
334,"""陈粒的歌是否有点无病呻吟？""",,,,,,
335,"""有哪些充满江湖味道的歌曲？""",,,,,,
336,"""哪些歌手的真实性格和他官方人设非常不符？""",,,,,,
337,"""为什么说唢呐是乐界流氓？""",,,,,,
338,"""陈粒的歌是否有点无病呻吟？""",,,,,,
341,"""有没有哪一首歌曲你听了后觉得是超级难听的？""",,,,,,
342,"""有哪些歌曲的现场演唱让你久久不能忘怀？""",,,,,,
344,"""吴亦凡的说唱 rap 水平到底如何？""",,,,,,
345,"""有哪些初见觉得很厉害，后来才发现没什么价值的作品？""",,,,,,
346,"""零基础如何自学吉他？""",,,,,,
348,"""有哪些被埋没了的好歌？""",,,,,,
349,"""你什么时候会对华语乐坛感到失望？""",,,,,,
351,"""你为什么卸载了网易云音乐？""",,,,,,
352,"""有哪些吉他和弦比较少又适合新手学习的歌曲？""",,,,,,
353,"""有哪些唱功称得上神级的歌手/艺术家？""",,,,,,
354,"""玩音乐的朋友有什么有趣的街头演奏经历？""",,,,,,
355,"""为什么说唢呐是乐界流氓？""",,,,,,
356,"""如何评价曲婉婷?""",,,,,,
357,"""如何评价莫文蔚？""",,,,,,
358,"""长期用耳塞听歌会导致听力下降吗？""",,,,,,
359,"""网易云音乐的歌单推荐算法是怎样的？""",,,,,,
360,"""人呐 要比想象的耐艹！""",,,,,,
361,"""你认为有哪些越早明白越好的人生道理？""",,,,,,
362,"""与网络卖家发生纠纷后如何解决？""",,,,,,
363,"""微信朋友圈中有哪些行为或做法显得特别 low?""",,,,,,
364,"""网络上有哪些免费的教育资源？""",,,,,,
365,"""你坚持过哪些细小的好习惯？""",,,,,,
366,"""哪一瞬间让你觉得情商高真的很重要？""",,,,,,
367,"""你是如何转行的？转行容易吗？""",,,,,,
368,"""有哪些在发达国家很普遍，在中国却行不通的商业模式？""",,,,,,
369,"""哪一瞬间让你觉得情商高真的很重要？""",,,,,,
370,"""如何看待咪蒙离婚？""",,,,,,
371,"""你有哪些「当时我就懵逼了」的经历？""",,,,,,
372,"""如何看待空姐搭乘滴滴顺风车被杀害一事？此类事件应如何避免？""",,,,,,
373,"""有哪些常见的道德绑架？""",,,,,,
374,"""你坚持过哪些细小的好习惯？""",,,,,,
375,"""最近几年，你观察到哪些消费升级现象？""",,,,,,
377,"""抖音和快手最大的区别是什么？""",,,,,,
378,"""如何不虚度大学的时光？""",,,,,,
379,"""拥有丰富的表情图是种怎样的体验？""",,,,,,
380,"""Excel 有什么好用的技巧，让你相见恨晚？""",,,,,,
381,"""身边的人是网红是什么感受？""",,,,,,
382,"""抖音能否风靡美国？""",,,,,,
383,"""作为普通用户，淘宝购物时，有哪些你经常用但一般人不知道的方法？""",,,,,,
384,"""有哪些已经堕落了的公司，为什么？""",,,,,,
385,"""如何看待雷军 2017 年 6 月 14 日转评的微博「唉……」？""",,,,,,
386,"""你见过最侮辱观众智商的广告是哪个？""",,,,,,
387,"""你有哪些「当时我就懵逼了」的经历？""",,,,,,
388,"""微信朋友圈中有哪些行为或做法显得特别 low?""",,,,,,
389,"""为什么部分中国网民认为韩国国家形象差？""",,,,,,
391,"""《福布斯》2011 年评腾讯创新能力全球第四，超越苹果和谷歌，如何理解？""",,,,,,
392,"""网上有真实的兼职吗？""",,,,,,
393,"""最良心的软件可以良心到什么程度？""",,,,,,
394,"""你用过哪些强大的快捷键？""",,,,,,
395,"""如何理解马云所说的月入两三万，三四万的人最幸福？""",,,,,,
396,"""面试官问你的缺点是什么，应该如何回答？""",,,,,,
397,"""为什么很多人都说百度是家缺德的公司？""",,,,,,
398,"""如何评价京东杀熟？""",,,,,,
399,"""国内外有哪些不以颜值而出名的网红？他们分别是怎么出名的？""",,,,,,
400,"""想要充实自己，有哪 10 本书或者 10 部电影值得推荐？""",,,,,,
401,"""有哪些你第一眼看到就爱上的句子？""",,,,,,
402,"""如果800个小时后发生世界大战，你最想怎么做？""",,,,,,
403,"""有哪些写出来让人尴尬到脸酸的文章或段子？""",,,,,,
404,"""你读过的最让人心酸的句子有哪些？""",,,,,,
405,"""你读过的最让人心酸的句子有哪些？""",,,,,,
406,"""你知道什么很甜的故事？""",,,,,,
409,"""有哪些读上去文艺而有韵味的句子？""",,,,,,
411,"""如何用平淡的语气写出虐到让人喘不过气，或让读者感到震撼、震惊的感觉？""",,,,,,
412,"""女生爱看书和不爱看书的差别在哪里？""",,,,,,
413,"""有哪些年轻人可能需要看的优秀书籍？""",,,,,,
414,"""一个读书与不读书的人的区别有哪些？""",,,,,,
415,"""知乎上有哪些关于书籍推荐的好问答？""",,,,,,
417,"""你知道什么很甜的故事？""",,,,,,
418,"""为什么我书读得越多，越看不起周围的人？""",,,,,,
419,"""有哪些情节多次反转的故事？""",,,,,,
420,"""女生爱看书和不爱看书的差别在哪里？""",,,,,,
421,"""女性作家有哪些对男性的描写，让你想要大呼「你是对男人有什么误解啊」？""",,,,,,
422,"""有哪些句子，一眼就会让你爱上？""",,,,,,
423,"""想要充实自己，有哪 10 本书或者 10 部电影值得推荐？""",,,,,,
424,"""历史上有哪些疑似穿越者？理由是什么？""",,,,,,
425,"""有哪些惊艳到你的句子？""",,,,,,
426,"""为什么嗑瓜子可以嗑半个小时甚至一个小时以上，看书学习却不可以？""",,,,,,
427,"""有哪些惊艳到你的句子？""",,,,,,
431,"""读书到底有什么用？""",,,,,,
432,"""有哪些翻译作品完美做到「信达雅」的水平？""",,,,,,
433,"""如何用平淡的语气写出虐到让人喘不过气，或让读者感到震撼、震惊的感觉？""",,,,,,
434,"""蜡笔小新中有哪些细思恐极的细节？""",,,,,,
435,"""100 字内能写出怎样萌的故事？""",,,,,,
436,"""如何用王家卫的方式表白？""",,,,,,
437,"""从哪一刻开始你觉得读书是有用的？""",,,,,,
439,"""有哪些令你读过就不会忘的话？""",,,,,,
440,"""数学里的 e 为什么叫做自然底数？是不是自然界里什么东西恰好是 e？""",,,,,,
441,"""你知道的最冷的冷知识是什么？""",,,,,,
443,"""有没有那么一瞬间突然有死亡的感觉，突然觉得非常恐惧？""",,,,,,
445,"""人类有没有可能是被设计出来的？""",,,,,,
446,"""宇宙中有哪些超出常人想象的现象？""",,,,,,
447,"""如何评价崔永元？""",,,,,,
448,"""梅花鹿的鹿茸角在被锯掉的时候，它会痛吗？""",,,,,,
449,"""复印后纸的重量增加了吗？""",,,,,,
450,"""人类科技史上有什么趣闻？""",,,,,,
451,"""人类活动对环境的影响到底有多大？""",,,,,,
452,"""自来水不能直接喝，水果不能直接吃，但是为什么用自来水洗了水果后，就可以吃？""",,,,,,
453,"""核武器能把地球炸得粉身碎骨吗？""",,,,,,
454,"""有没有什么很大让人很震撼的生物？""",,,,,,
455,"""有哪些知识或常识，你会奇怪他人居然不知道？""",,,,,,
456,"""为啥自己照镜子感觉自己长的蛮好看，可是一拍照就觉得不咋的?""",,,,,,
458,"""在哪个瞬间你觉得「我的高数没有白学」?""",,,,,,
459,"""生物学上有什么凄美的故事？""",,,,,,
460,"""这个世界有哪些不合理的地方？""",,,,,,
461,"""杨振宁真的很伟大吗？""",,,,,,
462,"""有哪些听起来很厉害的专业术语？""",,,,,,
463,"""有哪些让人觉得不可思议的科学现象？""",,,,,,
464,"""作为科研工作者子女是什么体验？""",,,,,,
465,"""为啥自己照镜子感觉自己长的蛮好看，可是一拍照就觉得不咋的?""",,,,,,
466,"""中国人在长相上有没有地域特点？""",,,,,,
467,"""有没有什么很大让人很震撼的生物？""",,,,,,
468,"""杨振宁真的很伟大吗？""",,,,,,
469,"""人类有哪些试图改变自然规律，然后被打脸的例子？""",,,,,,
470,"""多大的力气才能把一元硬币掰断？""",,,,,,
471,"""医生护士相信鬼神吗？""",,,,,,
472,"""如何评价崔永元？""",,,,,,
